trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,dropout_rate
trial_000,random_init,mean_final_val_acc_pct,92.12777777777778,92.12777777777778,92.48666666666668,0.10503967504392878,0.4832267678460694
trial_001,random_init,mean_final_val_acc_pct,91.95555555555556,91.95555555555556,92.39333333333333,0.020816659994658322,0.22036629958767634
trial_002,random_init,mean_final_val_acc_pct,91.4888888888889,91.4888888888889,91.96,0.09539392014169346,0.0037457350292935954
trial_003,random_init,mean_final_val_acc_pct,92.14999999999999,92.14999999999999,92.47666666666667,0.08736894948054237,0.4554879812245621
trial_004,gp_ei,mean_final_val_acc_pct,92.13333333333333,92.13333333333333,92.47333333333334,0.07571877794400485,0.3803910320480935
trial_005,gp_ei,mean_final_val_acc_pct,92.14999999999999,92.14999999999999,92.46999999999998,0.07937253933194073,0.4559926626772535
trial_006,gp_ei,mean_final_val_acc_pct,92.14999999999999,92.14999999999999,92.47333333333334,0.08326663997865036,0.45543613101264635
trial_007,gp_ei,mean_final_val_acc_pct,92.07777777777778,92.07777777777778,92.44333333333333,0.06506407098648201,0.3166756128734324
trial_008,gp_ei,mean_final_val_acc_pct,92.12777777777778,92.12777777777778,92.46666666666665,0.08504900548115472,0.4132316362954793
trial_009,gp_ei,mean_final_val_acc_pct,91.85555555555557,91.85555555555557,92.30666666666667,0.06429100507328168,0.1342824653979448
trial_010,gp_ei,mean_final_val_acc_pct,92.10555555555555,92.10555555555555,92.46666666666668,0.07234178138069844,0.35409440856314484
trial_011,gp_ei,mean_final_val_acc_pct,92.01666666666665,92.01666666666665,92.42333333333333,0.06350852961085851,0.2736631471045814
